domain,url,title,byteLength,linkCount
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geom30009/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/pols30030,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/pols30030/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi30271/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi30271/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chin30005/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chin30005/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/ling30002/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin20027/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin20027/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin20027/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin20027/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin20027/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/comp10001/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin10005/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/chin10005/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/ling20005,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/ling20005/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/mast20006/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/indo20014/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/indo20014/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geog20002/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geog20002/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geog20002/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chin10017/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/fren30013/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/fren30013/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/erth90035/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/econ90077/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/binf90017/eligibility-and-requirements,,884,0
