src_domain,dst_domain,contextual_links
medicine.unimelb.edu.au,ecommerce.unimelb.edu.au,47
research.unimelb.edu.au,scholarships.unimelb.edu.au,47
research.unimelb.edu.au,mdhs.unimelb.edu.au,47
study.unimelb.edu.au,bookings.events.unimelb.edu.au,47
study.unimelb.edu.au,online.unimelb.edu.au,47
study.unimelb.edu.au,mspace.unimelb.edu.au,47
finearts-music.unimelb.edu.au,forms.your.unimelb.edu.au,46
www.unimelb.edu.au,shop.unimelb.edu.au,46
msd.unimelb.edu.au,edsc.unimelb.edu.au,45
students.unimelb.edu.au,catalog.lms.unimelb.edu.au,45
scholarships.unimelb.edu.au,go.unimelb.edu.au,44
science.unimelb.edu.au,www.unimelb.edu.au,44
eng.unimelb.edu.au,chemical.eng.unimelb.edu.au,43
handbook.unimelb.edu.au,arts.unimelb.edu.au,43
students.unimelb.edu.au,q.surveys.unimelb.edu.au,43
biomedicalsciences.unimelb.edu.au,pursuit.unimelb.edu.au,42
education.unimelb.edu.au,go.unimelb.edu.au,42
handbook.unimelb.edu.au,policy.unimelb.edu.au,41
law.unimelb.edu.au,secure.alumni.unimelb.edu.au,41
dental.unimelb.edu.au,mdhs.unimelb.edu.au,40
finearts-music.unimelb.edu.au,mcm.unimelb.edu.au,40
medicine.unimelb.edu.au,search.unimelb.edu.au,40
msd.unimelb.edu.au,about.unimelb.edu.au,40
science.unimelb.edu.au,ms.unimelb.edu.au,40
education.unimelb.edu.au,research.unimelb.edu.au,39
fbe.unimelb.edu.au,services.unimelb.edu.au,39
mdhs.unimelb.edu.au,policy.unimelb.edu.au,39
science.unimelb.edu.au,physics.unimelb.edu.au,39
science.unimelb.edu.au,blogs.unimelb.edu.au,39
study.unimelb.edu.au,umsu.unimelb.edu.au,39
eng.unimelb.edu.au,minerva-access.unimelb.edu.au,38
eng.unimelb.edu.au,cis.unimelb.edu.au,38
mdhs.unimelb.edu.au,events.unimelb.edu.au,38
scholarships.unimelb.edu.au,futurestudents.unimelb.edu.au,38
education.unimelb.edu.au,forms.your.unimelb.edu.au,37
