src_domain,dst_host,link_count
msd.unimelb.edu.au,scholarships.unimelb.edu.au,227
eng.unimelb.edu.au,sustainablecampus.unimelb.edu.au,224
eng.unimelb.edu.au,microscopy.unimelb.edu.au,223
finearts-music.unimelb.edu.au,scholarships.unimelb.edu.au,221
msd.unimelb.edu.au,twitter.com,215
science.unimelb.edu.au,students.unimelb.edu.au,213
arts.unimelb.edu.au,doi.org,212
law.unimelb.edu.au,www.soas.ac.uk,212
law.unimelb.edu.au,adelaide.edu.au,212
mdhs.unimelb.edu.au,findanexpert.unimelb.edu.au,212
eng.unimelb.edu.au,theconversation.com,211
msd.unimelb.edu.au,doi.org,205
dental.unimelb.edu.au,students.unimelb.edu.au,203
dental.unimelb.edu.au,research.unimelb.edu.au,202
mbs.unimelb.edu.au,www.facebook.com,202
dental.unimelb.edu.au,safety.unimelb.edu.au,201
fbe.unimelb.edu.au,mbs.unimelb.edu.au,200
research.unimelb.edu.au,eng.unimelb.edu.au,200
mbs.unimelb.edu.au,www.linkedin.com,199
dental.unimelb.edu.au,staff.unimelb.edu.au,197
dental.unimelb.edu.au,library.unimelb.edu.au,196
eng.unimelb.edu.au,pursuit.unimelb.edu.au,196
law.unimelb.edu.au,scholarships.unimelb.edu.au,194
dental.unimelb.edu.au,www.youtube.com,193
mbs.unimelb.edu.au,fbe.unimelb.edu.au,185
science.unimelb.edu.au,study.unimelb.edu.au,180
services.unimelb.edu.au,library.unimelb.edu.au,180
students.unimelb.edu.au,policy.unimelb.edu.au,179
services.unimelb.edu.au,www.facebook.com,177
services.unimelb.edu.au,www.instagram.com,177
services.unimelb.edu.au,staff.unimelb.edu.au,177
services.unimelb.edu.au,www.linkedin.com,175
services.unimelb.edu.au,safety.unimelb.edu.au,175
education.unimelb.edu.au,handbook.unimelb.edu.au,169
eng.unimelb.edu.au,doi.org,169
mbs.unimelb.edu.au,www.instagram.com,167
students.unimelb.edu.au,study.unimelb.edu.au,166
finearts-music.unimelb.edu.au,theconversation.com,164
students.unimelb.edu.au,immi.homeaffairs.gov.au,164
