type,domain,url,title
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/general-practice-and-primary-care-research/cancer-in-primary-care/script-trial-a-randomised-controlled-trial-utilising-a-genomic-test-as-an-intervention-providing-personalised-bowel-cancer-screening-information,SCRIPT Trial: A Randomised Controlled Trial utilising a genomic test as an intervention providing personalised bowel cancer screening information
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/paediatrics-research/surgical-research-group/undescended-testis-and-inguinal-hernia-result-from-defects-in-the-same-mechanism,Undescended testis and inguinal hernia result from defects in the same mechanism
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/surgery-research/ophthalmic-epidemiology-group/web-based-automated-vision-testing-for-cataract-surgery-outcome-monitoring,Web-based automated vision testing for cataract surgery outcome monitoring
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/paediatrics-research/genetics-education-and-health-research/prenatal-testing-a-longitudinal-study-the-petals-project,Prenatal testing: a longitudinal study - the PeTALS project
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/cersh/resources/the-busy-youth-workers-guide-to-talking-sexual-health/stis-and-testing,STIs and Testing
sandbox,medicine.unimelb.edu.au,"https://medicine.unimelb.edu.au/research-groups/medical-education-research/curriculum,-assessment-and-evaluation/refinement-of-feedback-in-progress-testing",
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-2-2021/dementia-diagnosis-with-simple-blood-test,
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-1-2021/interested-in-sharing-your-views-and-opinions-on-using-genomic-testing-to-assess-chronic-disease,
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-1-2021/interested-in-sharing-your-perspectives-on-pharmacogenomic-testing-in-general-practice,
sandbox,medicine.unimelb.edu.au,"https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/engagement/primary-care-community/vicren/news-and-events/vicren-news-and-events/dont-take-the-risk,-take-the-free-bowel-screening-test!",
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/general-practice-and-primary-care-research/data-for-decisions/patterns-of-diagnostic-testing-for-og-cancer-related-symptoms-including-cost-analysis-of-testing,
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/data-for-decisions/projects/external-projects/torch-recruit-testing-and-feasibility-analyses,
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/general-practice-and-primary-care-research/data-for-decisions/markers-in-neuropsychiatric-disorders-mind-utility-of-neurofilament-light-chain-as-a-screening-test-in-general-practice,
