unit_slug,faculty,level,url,title,wordCount,classification,topics
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills/about,About the Centre and facilities,191,unique,academic-skills|library|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills/academic-skills-resources,Academic skills resources,69,link-farm,academic-skills|contacts-support|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills/facilitated-study-groups,Early Academic Guidance for Legal Education,203,unique,academic-skills|subjects-timetable|exams-results|placements-WIL
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills/lms-community,Legal Academic Skills LMS Community,196,unique,academic-skills|enrolment|placements-WIL|IT-systems
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills/writing-for-law,Writing for law,109,link-farm,academic-skills|exams-results|placements-WIL|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/masters,MLM Students,894,mixed,wellbeing-health|scholarships|student-life|IT-systems
law,Law,faculty,https://law.unimelb.edu.au/students/masters/enrichment,Enrichment | Masters (Law) | Melbourne Law School,222,unique,careers-employability|student-life|orientation|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/masters/enrichment/global-learning-opportunities,Global learning opportunities,117,link-farm,international|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/masters/enrichment/global-learning-opportunities/study-abroad-at-oxford,Study Abroad at Oxford,932,unique,international|student-life|enrolment|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/masters/enrichment/international-legal-internship,International Legal Internship,443,unique,placements-WIL|student-life|international|academic-skills
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/accept-your-offer-and-get-started,Accept Your Offer & Get Started | Masters | Law at Melbourne,580,unique,enrolment|orientation|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/course-transfers,Course Transfers and Early Exit Awards,419,unique,enrolment|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/cross-institutional-study,Cross-Institutional Study,452,unique,enrolment
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/enrolment,Enrolment and Re-Enrolment | Masters | Melbourne Law School,594,unique,enrolment|orientation|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/enrolment/mlm-subjects,MLM subjects,1901,unique,subjects-timetable|enrolment|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/enrolment/mlm-subjects/_recache,MLM subjects,1901,unique,subjects-timetable|enrolment|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/leave-of-absence,Leave of Absence,283,unique,enrolment|IT-systems|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/locker-hire,MLM student locker hire,190,unique,fees-finance
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/minor-thesis-option,Minor Thesis option,158,link-farm,research-candidature|course-planning|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/mlm-course-planning,Melbourne Law Masters course planning,1379,unique,course-planning|subjects-timetable|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/prerequisites-and-recommended-requirements,Prerequisites and Recommended Requirements,248,unique,enrolment|course-planning
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/student-advising,MLM student advising,372,mixed,course-planning|contacts-support|enrolment|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/masters/studies/subject-delivery,Subject delivery,560,unique,subjects-timetable|course-planning|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/mls-feedback,MLS Feedback,231,unique,forms-admin|subjects-timetable|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/mls-mentor-program,Mentor Program | Melbourne Law School | University of Melbourne,955,unique,careers-employability|contacts-support|international
law,Law,faculty,https://law.unimelb.edu.au/students/non-partner-programs,Non-partner programs,1220,mixed,international|fees-finance|placements-WIL|forms-admin
