topic,unit_slug,faculty,url,title,wordCount,classification,page_type
academic-skills,law,Law,https://law.unimelb.edu.au/students/jd,JD Students,795,mixed,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/legal-academic-skills/about,About the Centre and facilities,191,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/legal-academic-skills/facilitated-study-groups,Early Academic Guidance for Legal Education,203,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/legal-academic-skills/lms-community,Legal Academic Skills LMS Community,196,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/masters,MLM Students,894,mixed,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/masters,MLM Students,752,unique,content
academic-skills,science,Science,https://science.unimelb.edu.au/students/enrich-your-studies/academic-skills,Build your academic skills,612,unique,content
academic-skills,science,Science,https://science.unimelb.edu.au/students/enrich-your-studies/academic-skills/graduate-science-academic-english-tutorial,Science Academic English Tutorials,631,unique,content
academic-skills,science,Science,https://science.unimelb.edu.au/students/student-life/volunteering-and-leadership/biotechnology-peer-to-peer-mentoring,Biotechnology Peer-to-Peer Mentoring,575,unique,content
academic-skills,science,Science,https://science.unimelb.edu.au/students/student-life/volunteering-and-leadership/data-science-peer-to-peer-mentoring,Data Science Peer-to-Peer Mentoring,585,unique,content
careers-employability,abp,ABP,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements,Internships and Vocational Placements,1271,mixed,content
careers-employability,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies,Clubs and Societies | Melbourne School of Design,545,mixed,content
careers-employability,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/abp-industry-mentoring,ABP Industry Mentoring,1858,mixed,content
careers-employability,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/construction-ambassador-program,Construction Ambassador Program,634,mixed,content
careers-employability,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,"Employability in Architecture, Building & Planning",1199,mixed,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/employability-in-arts,Employability in Arts,809,mixed,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning,Experiential Learning,1770,mixed,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/career-mentoring,Arts Career Mentoring,1316,unique,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning/job-ready-program,Job Ready Program,871,unique,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning/internship-personal-and-career-growth,Internship: Personal & Career Growth | UniMelb Arts,891,mixed,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning/internship-personal-and-career-growth,Internship: Personal & Career Growth | UniMelb Arts,891,mixed,content
careers-employability,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning/internship-personal-and-career-growth/invitation-to-host-an-intern,Invitation to host an intern,667,unique,content
careers-employability,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/urop,UROP,449,unique,content
careers-employability,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/your-career,Your career,362,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/career-mentoring,Career Mentoring,1457,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education,Employability in Education,881,mixed,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/faculty-of-education-scholarships,Faculty of Education Scholarships,391,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching,Master of Teaching,512,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/early-childhood,Early Childhood,1214,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/early-childhood-and-primary,Early Childhood and Primary,1639,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/faqs,FAQs,5447,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/permission-to-teach-ptt-information,Permission to Teach (PTT) Information,875,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-allocation-process,Placement Allocation Process,708,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/assessment,Assessment,961,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/attendance-and-absences,Attendance and absences,479,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/health-and-safety,Health and safety,475,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/participation,Participation,309,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/placement-seminars,Placement seminars,284,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/placement-structure,Placement structure,580,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/professional-conduct,Professional Conduct,697,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/roles-and-responsibilities,Roles and responsibilities,1482,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/unsatisfactory-performance,Unsatisfactory performance,689,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/working-with-children-check,Working with Children Check,219,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/primary,Primary,982,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/secondary,Secondary,950,unique,content
careers-employability,education,Education,https://education.unimelb.edu.au/study/current-students/enrich-your-studies/graduate-education-ambassador-program,Student Ambassador program,467,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/career-resources,Career resources,533,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program,Intercultural Career Mentoring Program,366,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program,Intercultural Career Mentoring Program,374,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/career-resources/professional-associations,Professional Associations,542,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/international-opportunities/ICMP,Intercultural Career Mentoring Program,2516,unique,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,Employability in Engineering and Information Technology,1281,mixed,content
careers-employability,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/internship/practice-hurdle/step,Skills Towards Employment Program,469,unique,content
